HSCode,Commodity,HS2,Product_ID,Industry_Category,Product_Type,Created_At
10121,PURE-BRED BREEDING HORSES,1,1,Animal & Animal Products,Primary Products,2023-01-01 09:00:00
10129,OTHER HORSES EXCL FOR PURE BREED BREEDING,1,2,Animal & Animal Products,Primary Products,2023-01-01 09:00:05
10231,PURE-BRED BREEDING BUFFALOES,1,3,Animal & Animal Products,Primary Products,2023-01-01 09:00:10
10290,LIVE BOVNE ANMLS OTHR CATTLE AND BUFFALO,1,4,Animal & Animal Products,Primary Products,2023-01-01 09:00:15
10410,LIVE SHEEP,1,5,Animal & Animal Products,Primary Products,2023-01-01 09:00:20
10420,LIVE GOATS,1,6,Animal & Animal Products,Primary Products,2023-01-01 09:00:25
10511,FOWLS OF THE SPECIES GALLUS DOMESTICUS WT<=185 G,1,7,Animal & Animal Products,Primary Products,2023-01-01 09:00:30
10594,FOWLS OF THE SPECIES GALLUS DOMESTICUS OTH THAN OF HEADING 01051100,1,8,Animal & Animal Products,Primary Products,2023-01-01 09:00:35
10599,OTHER LIVE POULTRY WEIGHING > 185G,1,9,Animal & Animal Products,Primary Products,2023-01-01 09:00:40
10619,OTHER MAMMALS,1,10,Animal & Animal Products,Primary Products,2023-01-01 09:00:45
10690,"OTHER LIVE ANIMALS EXCLUDING MAMMALS,     REPTILES AND BIRDS",1,11,Animal & Animal Products,Primary Products,2023-01-01 09:00:50
20110,"CRCS AND HLF-CRCS OF BOVN ANMLS,FRSH OR CHLD",2,12,Animal & Animal Products,Primary Products,2023-01-01 09:00:55
20130,BONELESS,2,13,Animal & Animal Products,Primary Products,2023-01-01 09:01:00
20210,"CRCS HALF-CRCS OF BOVN ANMLS, FROZEN",2,14,Animal & Animal Products,Primary Products,2023-01-01 09:01:05
20220,OTHER CUTS WITH BONE IN,2,15,Animal & Animal Products,Primary Products,2023-01-01 09:01:10
20230,BONELESS,2,16,Animal & Animal Products,Primary Products,2023-01-01 09:01:15
20311,"CRCS AND HLF CRCS SWINE MEAT,FRESH OR CHLD",2,17,Animal & Animal Products,Primary Products,2023-01-01 09:01:20
20312,"HAMS, SHOULDERS AND CUTS THEREOF, WITH    BONE IN",2,18,Animal & Animal Products,Primary Products,2023-01-01 09:01:25
20329,"OTHER MEAT OF SWINE, FROZEN",2,19,Animal & Animal Products,Primary Products,2023-01-01 09:01:30
20410,"CRCS AND HALF-CRCS OF LAMB, FRSH OR CHLD",2,20,Animal & Animal Products,Primary Products,2023-01-01 09:01:35
20421,"CRCS AND HLF CRCS OF SHEEP,FRSH OR CHLD",2,21,Animal & Animal Products,Primary Products,2023-01-01 09:01:40
20422,OTHER CUTS WITH BONE IN,2,22,Animal & Animal Products,Primary Products,2023-01-01 09:01:45
20423,BONELESS,2,23,Animal & Animal Products,Primary Products,2023-01-01 09:01:50
20430,"CARCASSES AND HALF-CARCASSES OF LAMB,     FROZEN",2,24,Animal & Animal Products,Primary Products,2023-01-01 09:01:55
20441,CARCASSES AND HALF-CARCASSES,2,25,Animal & Animal Products,Primary Products,2023-01-01 09:02:00
20442,OTHER CUTS WITH BONE IN,2,26,Animal & Animal Products,Primary Products,2023-01-01 09:02:05
20443,BONELESS,2,27,Animal & Animal Products,Primary Products,2023-01-01 09:02:10
20450,MEAT OF GOATS,2,28,Animal & Animal Products,Primary Products,2023-01-01 09:02:15
20610,"EDBL OFFAL OF BOVINE ANMLS,FRSH/CHILLED",2,29,Animal & Animal Products,Primary Products,2023-01-01 09:02:20
20621,"EDIBLE TONGUES OF BOVINE ANIMALS, FROZEN",2,30,Animal & Animal Products,Primary Products,2023-01-01 09:02:25
20622,"EDIBLE LIVERS OF BOVINE ANIMALS, FROZEN",2,31,Animal & Animal Products,Primary Products,2023-01-01 09:02:30
20629,"OTHR EDIBLE OFFAL OF BOVINE ANIMALS,FROZEN",2,32,Animal & Animal Products,Primary Products,2023-01-01 09:02:35
20680,"OTHER, FRESH OR CHILLED :",2,33,Animal & Animal Products,Primary Products,2023-01-01 09:02:40
20690,"OTHER, FROZEN :",2,34,Animal & Animal Products,Primary Products,2023-01-01 09:02:45
20711,"MEAT/EDBL OFAL OF FOWLS OF THE SPCS GALS  DOMESTICUS NOT CUT IN PIECES,FRES/CHILLED",2,35,Animal & Animal Products,Primary Products,2023-01-01 09:02:50
20712,"MEAT/EDBL OFAL OF FOWLSOF THE SPCS GALS   DOMESTICUS NOT CUT IN PIECES,FROZEN",2,36,Animal & Animal Products,Primary Products,2023-01-01 09:02:55
20713,"CUTS AND OFFAL, FRESH OR CHILLED",2,37,Animal & Animal Products,Primary Products,2023-01-01 09:03:00
20714,"CUTS AND OFFAL, FROZEN",2,38,Animal & Animal Products,Primary Products,2023-01-01 09:03:05
20727,"CUTS AND OFFAL, FROZEN",2,39,Animal & Animal Products,Primary Products,2023-01-01 09:03:10
20745,"OTHER DUCKS, FROZEN",2,40,Animal & Animal Products,Primary Products,2023-01-01 09:03:15
20755,"OTHER GEESE, FROZEN",2,41,Animal & Animal Products,Primary Products,2023-01-01 09:03:20
21012,BELLIES (STREAKY) AND CUTS THEREOF,2,42,Animal & Animal Products,Primary Products,2023-01-01 09:03:25
21019,"OTHR MEAT OF SWINE,SLTD,IN BRINE,DRD/SMKD",2,43,Animal & Animal Products,Primary Products,2023-01-01 09:03:30
21020,MEAT OF BOVINE ANIMALS,2,44,Animal & Animal Products,Primary Products,2023-01-01 09:03:35
21099,OTHER,2,45,Animal & Animal Products,Primary Products,2023-01-01 09:03:40
30111,FRESH WATER ORNAMENTAL FISH,3,46,Animal & Animal Products,Primary Products,2023-01-01 09:03:45
30119,OTHER ORNAMENTAL FISH EXCL FRESH WATER,3,47,Animal & Animal Products,Primary Products,2023-01-01 09:03:50
30191,"TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS  CLARKI AGUABONITA GILAE APACHE AND CHRYGASTR",3,48,Animal & Animal Products,Primary Products,2023-01-01 09:03:55
30193,LIVE CARP,3,49,Animal & Animal Products,Primary Products,2023-01-01 09:04:00
30199,OTHER LIVE FISH,3,50,Animal & Animal Products,Primary Products,2023-01-01 09:04:05
30211,TROUT FRESH OR CHILLED,3,51,Animal & Animal Products,Primary Products,2023-01-01 09:04:10
30219,OTHER SALMONIDE FRESH OR CHILLED EXCL OF HEADING 030291 TO 030299,3,52,Animal & Animal Products,Primary Products,2023-01-01 09:04:15
30223,SOLE FRESH OR CHILLED,3,53,Animal & Animal Products,Primary Products,2023-01-01 09:04:20
30229,OTHER FLAT FISH FRESH OR CHILLED EXCL OF HEADING 030291 TO 030299,3,54,Animal & Animal Products,Primary Products,2023-01-01 09:04:25
30232,YELLOWFIN TUNAS FRESH OR CHILLED,3,55,Animal & Animal Products,Primary Products,2023-01-01 09:04:30
30233,SKIPJACK TUNA OR STRIPE BELLIED BONITO FRESH OR CHILLED,3,56,Animal & Animal Products,Primary Products,2023-01-01 09:04:35
30234,BIGEYE TUNAS FRESH OR CHILLED,3,57,Animal & Animal Products,Primary Products,2023-01-01 09:04:40
