Trade_ID,Product_ID,Year_ID,TradeType_ID,Trade_Value,Share_Percentage,Growth_Rate,Absolute_Change,Trade_Balance,Created_At
1,1,1,1,0,0,0,0.09,-47.71,01-04-2023 00:00
2,2,1,1,0.08,0,194.43,0.15,-9.25,01-04-2023 00:00
3,3,1,1,1.83,0.0001,0,-1.83,,01-04-2023 00:00
4,4,1,1,0.25,0,0,-0.25,0.25,01-04-2023 00:00
5,5,1,1,11.59,0.0003,665.88,77.2,11.59,01-04-2023 00:00
6,6,1,1,80.52,0.0022,-16.28,-13.11,,01-04-2023 00:00
7,7,1,1,6.46,0.0002,31.62,2.04,-25.93,01-04-2023 00:00
8,8,1,1,0.52,0,-66.94,-0.35,,01-04-2023 00:00
9,9,1,1,1.19,0,9.24,0.1,,01-04-2023 00:00
10,10,1,1,0,0,8748.59,0.16,-36.02,01-04-2023 00:00
11,11,1,1,0.04,0,-7.83,-0.01,-18.29,01-04-2023 00:00
12,12,1,1,0.03,0,0,-0.03,,01-04-2023 00:00
13,13,1,1,1047.23,0.0289,-1.37,-14.35,,01-04-2023 00:00
14,14,1,1,2.05,0.0001,-63.08,-1.29,,01-04-2023 00:00
15,15,1,1,0.73,0,47.46,0.35,,01-04-2023 00:00
16,16,1,1,27862.21,0.7699,11.52,3210.14,,01-04-2023 00:00
17,17,1,1,6.32,0.0002,0,-6.32,,01-04-2023 00:00
18,18,1,1,0.42,0,0,-0.42,,01-04-2023 00:00
19,19,1,1,0.03,0,0,-0.03,-14.34,01-04-2023 00:00
20,20,1,1,122.63,0.0034,-4.13,-5.06,122.63,01-04-2023 00:00
21,21,1,1,485.62,0.0134,14.58,70.8,,01-04-2023 00:00
22,22,1,1,0,0,0,0,-0.13,01-04-2023 00:00
23,23,1,1,0,0,0,0.71,-0.05,01-04-2023 00:00
24,24,1,1,0.02,0,0,-0.02,,01-04-2023 00:00
25,25,1,1,16.68,0.0005,36.36,6.07,,01-04-2023 00:00
26,26,1,1,11.29,0.0003,4.01,0.45,-6.58,01-04-2023 00:00
27,27,1,1,0.02,0,5099.94,1.08,-5.55,01-04-2023 00:00
28,28,1,1,5.78,0.0002,23.72,1.38,5.72,01-04-2023 00:00
29,29,1,1,25.49,0.0007,54.79,13.97,,01-04-2023 00:00
30,30,1,1,50.81,0.0014,-6.59,-3.34,,01-04-2023 00:00
31,31,1,1,96.92,0.0027,8.07,7.81,,01-04-2023 00:00
32,32,1,1,1921.45,0.0531,8.95,172.02,,01-04-2023 00:00
